url,title,anchorUrl,anchorText,text,noFollow
https://dulceresponde.blogspot.com/search?updated-max=2014-02-03T10:06:00-08:00&max-results=10&reverse-paginate=true&start=10&by-date=false,"Procurando Minha Galera.",http://prive.abonnes.lemonde.fr/societe/article/2014/02/02/au-moins-100-000-sympathisants-de-la-manif-pour-tous-defilent-en-france_4358594_3224.html,"une nouvelle manifestation contre la politique du gouvernement en matière de famille",1,
https://dulceresponde.blogspot.com/search?updated-max=2014-02-03T10:14:00-08:00&max-results=10&reverse-paginate=true&start=20&by-date=false,"Procurando Minha Galera.",http://prive.abonnes.lemonde.fr/societe/article/2014/02/02/au-moins-100-000-sympathisants-de-la-manif-pour-tous-defilent-en-france_4358594_3224.html,"une nouvelle manifestation contre la politique du gouvernement en matière de famille",1,
https://blogavocat.fr/space/bernard.kuchukian/tag/DOSSIER%20BLOGOSPHERE?sort_by=created&page=1,"Blog Avocats",http://abonnes.lemonde.fr/actualite-medias/article/2012/08/20/le-jour-ou-le-monde-a-publie-la-tribune-de-faurisson_1747809_3236.html,"Le jour où »,   Le Monde a publié la tribune de FAURISSON »",1,
https://www.lesechos.fr/08/02/2016/lesechos.fr/021680473589_le--new-york-times--compte-pres-de-1-1-million-d-abonnes-numeriques.htm,"Le ""New York Times"" compte près de 1,1 million d'abonnés numériques",http://abonnes.lemonde.fr/actualite-medias/article/2014/06/06/le-new-york-times-segmente-ses-abonnements-web_4433711_3236.html,"assurait au ""Monde""",1,
https://fr.express.live/2018/09/06/la-publicite-nest-plus-ce-quelle-etait-les-resultats-en-demi-teinte-de-wpp-inquietent-les,"La publicité n'est plus ce qu'elle était : les résultats en demi-teinte de WPP inquiètent les marchés",https://abonnes.lemonde.fr/actualite-medias/article/2018/04/15/martin-sorrell-directeur-general-de-wpp-demissionne-apres-des-allegations-de-comportement-inapproprie_5285740_3236.html,"avait dû démissionner de son poste",1,
http://www.generationcable.net/ForumGC/viewtopic.php?p=336272&sid=375a2b70488bc7d95c528daba7f6316a,"Génération Câble Voir le sujet - Parts de marché dans l'ADSL, la Fibre Optique et le mobile",https://abonnes.lemonde.fr/actualite-medias/article/2018/09/19/ligue-des-champions-sur-rmc-sport-alain-weill-promet-une-deuxieme-soiree-de-football-moins-chaotique_5357480_3236.html,"Le Monde",1,
http://www.generationcable.net/ForumGC/viewtopic.php?p=336272&sid=faf719cd52748bcf92dbfba4431b4036,"Génération Câble Voir le sujet - Parts de marché dans l'ADSL, la Fibre Optique et le mobile",https://abonnes.lemonde.fr/actualite-medias/article/2018/09/19/ligue-des-champions-sur-rmc-sport-alain-weill-promet-une-deuxieme-soiree-de-football-moins-chaotique_5357480_3236.html,"Le Monde",1,
http://www.generationcable.net/ForumGC/viewtopic.php?p=336272,"Génération Câble Voir le sujet - Parts de marché dans l'ADSL, la Fibre Optique et le mobile",https://abonnes.lemonde.fr/actualite-medias/article/2018/09/19/ligue-des-champions-sur-rmc-sport-alain-weill-promet-une-deuxieme-soiree-de-football-moins-chaotique_5357480_3236.html,"Le Monde",1,
https://forum.commeuncamion.com/la-salle-de-sport/19769-le-topic-de-la-nutrition-dietetique-2-0-topo-page1-147.html?s=1dff2b926f54240449a6a6121a54fc56,"Le topic de la nutrition/diététique 2.0 topo page1 - Page 147",http://abonnes.lemonde.fr/afrique/article/2016/01/21/en-ethiopie-le-miracle-economique-masque-les-fragilites-du-regime_4851367_3212.html,"En Ethiopie, le « miracle » économique masque les fragilités du régime",1,1
https://www.huffingtonpost.fr/2016/10/31/100-premiers-jours-donald-trump-hillary-clinton_a_21595259/,"Pour leurs 100 premiers jours à la Maison-Blanche, Donald Trump et Hillary Clinton ont les mêmes priorités mais pas les mêmes solutions",http://abonnes.lemonde.fr/ameriques/article/2015/11/06/obama-annonce-le-rejet-du-projet-d-oleoduc-keystone-xl_4804833_3222.html,"le projet d'oléoduc Keystone XL",1,
http://zinc.mondediplo.net/messages/54873,"Dans l'Arkansas, les exécutions s'enchaînent au rythme des stocks d'anesthésiants",http://abonnes.lemonde.fr/ameriques/article/2017/03/23/dans-l-arkansas-les-executions-s-enchainent-au-rythme-des-stocks-d-anesthesiants_5099237_3222.html,"http:// abonnes.lemonde.fr / ameriques/ article/ 2017/ 03/ 23/ dans-l-arkansas-les-exe cutions-s-enchainent-au-rythme-des-stocks-d-a",1,
http://www.crime-info.fr/2018/10/en-alabama-la-mort-sans-cesse-retardee-de-vernon-madison.html,"En Alabama, la mort sans cesse retardée de Vernon Madison - Crimeinfo",https://abonnes.lemonde.fr/ameriques/article/2018/10/08/en-alabama-la-mort-sans-cesse-retardee-de-vernon-madison_5366091_3222.html,"En Alabama, la mort sans cesse retardée de Vernon Madison",,
http://www.crime-info.fr/2018/10/en-alabama-la-mort-sans-cesse-retardee-de-vernon-madison.html,"En Alabama, la mort sans cesse retardée de Vernon Madison - Crimeinfo",https://abonnes.lemonde.fr/ameriques/article/2018/10/08/en-alabama-la-mort-sans-cesse-retardee-de-vernon-madison_5366091_3222.html,"En Alabama, la mort sans cesse retardée de Vernon Madison",1,
http://www.crime-info.fr/2018/10/en-alabama-la-mort-sans-cesse-retardee-de-vernon-madison.html,"En Alabama, la mort sans cesse retardée de Vernon Madison - Crimeinfo",https://abonnes.lemonde.fr/ameriques/article/2018/10/08/en-alabama-la-mort-sans-cesse-retardee-de-vernon-madison_5366091_3222.html,https://abonnes.lemonde.fr/ameriques/article/2018/10/08/en-alabama-la-mort-sans-cesse-retardee-de-vernon-madison_5366091_3222.html,1,
https://feedforall.com/rss2html.php?XMLFILE=http://lepartisan.info/fulltext/makefulltextfeed.php?url=http://tempsreel.nouvelobs.com/atom.xml&TEMPLATE=http://lepartisan.info/portail/modxls.php,"L'Obs en temps réel : Accueil",https://abonnes.lemonde.fr/ameriques/article/2018/10/11/au-bresil-le-triomphe-attendu-de-bolsonaro-dechaine-les-violences-homophobes_5367697_3222.html,"le Monde""",1,
https://feedforall.com/rss2html.php?XMLFILE=http://lepartisan.info/fulltext/makefulltextfeed.php?url=tempsreel.nouvelobs.com/file/rss_perm/rss_permanent.xml&TEMPLATE=http://lepartisan.info/portail/modxls.php,"L'Obs en temps réel : Accueil",https://abonnes.lemonde.fr/ameriques/article/2018/10/11/au-bresil-le-triomphe-attendu-de-bolsonaro-dechaine-les-violences-homophobes_5367697_3222.html,"le Monde""",1,
http://www.arbre-celtique.com/forum/viewtopic.php?f=3&t=6404&sid=9d8ba11a083c04b60c58529eabfdff28&p=75685,"http://forum.arbre-celtique.com • Afficher le sujet - trigonométrie antique ?",http://abonnes.lemonde.fr/archeologie/article/2017/08/29/les-mesopotamiens-as-de-la-trigonometrie_5177828_1650751.html,"http://abonnes.lemonde.fr/archeologie/a ... 50751.html",1,
http://www.arbre-celtique.com/forum/viewtopic.php?f=3&t=6404&sid=9d8ba11a083c04b60c58529eabfdff28,"http://forum.arbre-celtique.com • Afficher le sujet - trigonométrie antique ?",http://abonnes.lemonde.fr/archeologie/article/2017/08/29/les-mesopotamiens-as-de-la-trigonometrie_5177828_1650751.html,"http://abonnes.lemonde.fr/archeologie/a ... 50751.html",1,
http://www.arbre-celtique.com/forum/viewtopic.php?f=3&t=6404&start=0&sid=a60d05e9e1c634226f9b17b400b84210&view=print,"http://forum.arbre-celtique.com • Afficher le sujet - trigonométrie antique ?",http://abonnes.lemonde.fr/archeologie/article/2017/08/29/les-mesopotamiens-as-de-la-trigonometrie_5177828_1650751.html,"http://abonnes.lemonde.fr/archeologie/a ... 50751.html",1,
http://www.arbre-celtique.com/forum/viewtopic.php?f=3&t=6404&start=0&sid=a60d05e9e1c634226f9b17b400b84210,"http://forum.arbre-celtique.com • Afficher le sujet - trigonométrie antique ?",http://abonnes.lemonde.fr/archeologie/article/2017/08/29/les-mesopotamiens-as-de-la-trigonometrie_5177828_1650751.html,"http://abonnes.lemonde.fr/archeologie/a ... 50751.html",1,
